"version","weather","variant","iter","best_acc","best_f1","best_acc_epoch","best_f1_epoch","epochs","train_acc","val_acc","val_f1","path"
"v6","黑天","module_c_no_identity","02","0.933333","0.913962","47","47","60","0.987319","0.933333","0.913962","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_黑天_20260828_203202\result_summary_iter02.json"
"v6","黑天","module_c_no_identity","03","0.975","0.957368","47","57","60","0.98913","0.966667","0.957368","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_黑天_20260828_203202\result_summary_iter03.json"
"v6","黑天","module_c_no_module_c","01","0.925","0.896986","45","39","54","0.98913","0.916667","0.896986","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_module_c_黑天_20260828_230139\result_summary_iter01.json"
"v6","黑天","module_c_no_module_c","02","0.875","0.838537","28","26","48","0.949275","0.85","0.838537","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_module_c_黑天_20260828_230139\result_summary_iter02.json"
"v6","黑天","module_c_no_module_c","03","0.95","0.940097","49","49","60","0.983696","0.95","0.940097","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_module_c_黑天_20260828_230139\result_summary_iter03.json"
"v6","黑天","module_c_no_paired_contrastive","01","0.966667","0.94217","38","38","53","0.98913","0.966667","0.94217","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_paired_contrastive_黑天_20260828_210854\result_summary_iter01.json"
"v6","黑天","module_c_no_paired_contrastive","02","0.933333","0.892141","33","27","48","0.972826","0.883333","0.892141","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_paired_contrastive_黑天_20260828_210854\result_summary_iter02.json"
"v6","黑天","module_c_no_paired_contrastive","03","0.966667","0.959383","55","55","60","0.98913","0.966667","0.959383","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_paired_contrastive_黑天_20260828_210854\result_summary_iter03.json"
"v6","黑天","module_c_no_prototype_contrastive","01","0.966667","0.955667","46","56","60","0.998188","0.966667","0.955667","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_prototype_contrastive_黑天_20260828_214511\result_summary_iter01.json"
"v6","黑天","module_c_no_prototype_contrastive","02","0.933333","0.908225","49","50","60","0.996377","0.925","0.908225","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_prototype_contrastive_黑天_20260828_214511\result_summary_iter02.json"
"v6","黑天","module_c_no_prototype_contrastive","03","0.958333","0.948279","49","47","60","0.987319","0.95","0.948279","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_prototype_contrastive_黑天_20260828_214511\result_summary_iter03.json"
"v6","逆光","module_c_full","01","0.972973","0.977553","55","55","60","0.891304","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\result_summary_iter01.json"
"v6","逆光","module_c_full","02","0.945946","0.961599","25","25","42","0.684783","0.918919","0.929853","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\result_summary_iter02.json"
